gate,weight,weight_diff,odds,jockey_weight,PWR,Turf_Inertia,Potential,Darkness,rank,horse_name,jockey_allowance,Outer_Inertia_Boost,Mass_Momentum
3,478,,27.9,51,9.372549019607844,,0.30626607632300235,157.4713350078433,4,メインテーマ,4.0,1.0,1.0
4,482,,126.3,52,9.26923076923077,,0.2836192825385224,744.9059578204749,4,ジューンミレニアム,3.0,1.0,1.0
5,430,,12.6,55,7.818181818181818,,0.2901010101010101,63.211996129884945,2,カッサンドラ,0.0,1.0,1.0
6,454,,61.4,55,8.254545454545454,,0.25903701510216165,312.20060693155045,4,ペイシャクロス,0.0,1.0,1.0
7,434,,14.1,52,8.346153846153847,,0.3000300054555374,73.8195522560195,4,ドリームガッサン,3.0,1.0,1.0
8,420,,30.5,52,8.076923076923077,,0.2652585119798235,150.16310183143014,3,フレンドリーエール,3.0,1.0,1.0
9,422,,218.0,53,7.962264150943396,,0.2420789337026138,1146.4103174378374,4,ブロンディ,2.0,1.0,1.0
10,420,,76.1,53,7.9245283018867925,,0.24693427218406763,375.2553343901465,4,トゥレイス,2.0,1.0,1.0
11,476,,88.1,55,8.654545454545454,,0.26758188009493344,476.30019256970934,4,トモジャカトゥーラ,0.0,1.0,1.0
12,448,,2.2,53,8.452830188679245,,0.5717667238421955,18.918445436534576,4,モズオウンゴール,2.0,1.0,1.0
13,398,,60.4,53,7.509433962264151,,0.2724032862676496,322.5390566790051,4,ラブデウザ,2.0,1.15,1.0
14,512,,16.9,55,9.309090909090909,,0.46099596557288863,137.93193879996414,4,マーゴットオーメン,0.0,1.15,1.25
15,462,,8.2,53,8.716981132075471,,0.39890658076392077,54.656301030729665,4,プティシラー,2.0,1.15,1.0
16,478,,126.6,52,9.192307692307692,,0.3234932251792441,851.8118296091694,4,ハミングディスト,3.0,1.15,1.0
